"subject" "radius" "number" "durationTest" "sample" "tf" "psesample"
"415" "AB" 2 1 56 30 1.26122334653172 1.13504738161432
"416" "AB" 2 1 56 30 1.55900224505666 1.14086684777077
"417" "AB" 2 1 56 30 1.59154943091895 1.14150291448856
"418" "AB" 2 1 56 30 1.99890650776266 1.14946385710076
"419" "AB" 2 1 56 30 2.52244669306345 1.17216104991759
"420" "AB" 2 1 56 30 3.11800449011332 1.19798044360069
"421" "AB" 2 1 112 1 0.316797914224418 0.884384599884585
"422" "AB" 2 1 112 1 0.397887357729738 0.924977803948282
"423" "AB" 2 1 112 1 0.50213384545493 0.97716337541388
"424" "AB" 2 1 112 1 0.630611673265862 1.02799928390527
"425" "AB" 2 1 112 1 0.633595828448835 1.02918004981944
"426" "AB" 2 1 112 1 0.795774715459477 1.09335074136818
"427" "AB" 2 1 112 1 0.99945325388133 1.1166887787496
"428" "AB" 2 1 112 1 1.00426769090986 1.11724042995553
"429" "AB" 2 1 112 1 1.26122334653172 1.14668310340918
"430" "AB" 2 1 112 1 1.55900224505666 1.18406089157315
"431" "AB" 2 1 112 1 1.59154943091895 1.18814627782624
"432" "AB" 2 1 112 1 1.99890650776266 1.23927853266627
